Location;Participants;Cost
Washington Heights, Manhattan;Sub-Mariner, Superman vs. Batgirl, Captain America, Iron Man, Lagoon Boy, Static Shock, Tiger, Vixen;$0
Flushing, Queens;Catwoman, Conan the Barbarian, Defenders, Judomaster vs. Marvelman, V;$8000
Chelsea, Manhattan;Batman vs. Ghost Rider, Green Arrow, Jericho, Kate Spencer, Superman, Wonder Woman;$1000
Bedford Park, Bronx;Aquaman vs. Batwoman, Rorschach, Supergirl;$6000
Hell's Kitchen, Manhattan;Arsenal, Karate Kid, Orin, Watchmen vs. Wasp;$8000
Greenpoint, Brooklyn;Calendar Man, Captain America, Conan the Barbarian, Green Lantern, Oracle, Spider-Man, Wasp vs. Aquaman, Captain Marvel, Rocket Red, Rocketeer, Teenage Mutant Ninja Turtles;$8000
Morningside Heights, Manhattan;Elektra vs. Atom, Daredevil;$1000
SoHo, Manhattan;Avengers, Aztec, Teenage Mutant Ninja Turtles vs. Green Lantern, Hal Jordan, Krypta, X-Men;$1000
SoHo, Manhattan;Ant-Man, Bronze Tiger, Defenders, Kid Flash vs. Batman, Batwoman, Doctor Strange, Kamandi, Plastic Man, Robin;$19000
East Village, Manhattan;Flash, Hellboy, Incredible Hulk, Judomaster, Rocketeer, Supergirl, Teenage Mutant Ninja Turtles, Wasp vs. Aztec, Black Canary, Elektra, Iron Fist, Marvelman;$8000
Washington Heights, Manhattan;Ridder, Teenage Mutant Ninja Turtles vs. Animal Man, Artemis, Avengers, Batman, Daredevil, Lagoon Boy, Nightwing, Ozymandias, Sub-Mariner, Zatanna;$2000
Koreatown, Manhattan;Batgirl, Plastic Man vs. Atom, Hellboy, Marvelman, Spider-Man, Teenage Mutant Ninja Turtles, Wolverine;$14000
SoHo, Manhattan;Green Lantern, Kyle Rayner, Supergirl, Superman vs. Animal Man, Defenders, Hawkeye, Huntress, Plastic Man, Starfire;$0
East Harlem, Manhattan;Guardians of the Galaxy, Rocketeer vs. Captain America, Impulse, Karate Kid, Mas y Menos, Plastic Man, Rorschach, X-Men;$9000
Chelsea, Manhattan;Animal Man, Guardians of the Galaxy, Ridder vs. Conan the Barbarian, Green Lantern, Judomaster, Mr. Terrific, Superman;$3000
Coney Island, Brooklyn;Captain America, Sub-Mariner vs. Kamandi, Marvelman;$7000
Washington Heights, Manhattan;Aquaman, Asterix, Captain America, Impulse, Misfit, Ridder, Spider-Man, Zatanna vs. Aisha;$3000
Jamaica, Queens;Black Canary, Conan the Barbarian, Superman vs. Ant-Man, Aquaman, Atom, Black Panther, Defenders, Gypsy, Huntress, Lagoon Boy, Ozymandias, Spider-Man, Teenage Mutant Ninja Turtles;$19000
Koreatown, Manhattan;Ant-Man, Asterix, Black Canary, Cassandra Cain vs. Krypta, Superman;$3000
Washington Heights, Manhattan;Ant-Man, Asterix vs. Miss Martian;$2000
Morningside Heights, Manhattan;Ghost Rider, Lagoon Boy, Supergirl vs. Avengers, Batgirl, Fire, Rocketeer;$2000
Koreatown, Manhattan;Agent Liberty, Superman, Zatara vs. Ant-Man, Black Panther, Captain America, Damian Wayne, Iron Man, Kate Spencer, Marvelman, Mary Marvel, Nightwing, Ozymandias, Plastic Man, Teenage Mutant Ninja Turtles;$9000
Castle Hill, Bronx;Catwoman, Elektra, Hank Hall, Spider-Man vs. Animal Man, Ant-Man, Avengers, Daredevil, Defenders, Green Arrow, Huntress, Marvelman, Ozymandias, Vixen, Wonder Woman;$8000
Morningside Heights, Manhattan;Asterix, Conan the Barbarian, Defenders, Superman, Teenage Mutant Ninja Turtles, Vigilante vs. Atom, Gypsy, Plastic Man, Wasp;$2000
Greenpoint, Brooklyn;Hawkeye, Orin vs. Batwoman, Defenders, Spider-Man, Wonder Woman;$6000
Nolita, Manhattan;Ant-Man, Captain America, Ghost Rider, Kate Spencer, Phantom Lady, Supergirl, Wasp vs. Aztec, Hank Hall, Rocketeer;$2000
SoHo, Manhattan;Batman, Daredevil, Doc Savage, Iron Fist, Judomaster, Lagoon Boy, Marvelman, Plastic Man, Wonder Girl vs. Aquaman, Captain America, Elektra, Green Arrow, Superman;$1000
Harlem, Manhattan;Thor vs. Batwoman, Incredible Hulk, Rocketeer;$0
Washington Heights, Manhattan;Doc Savage, Guardians of the Galaxy vs. Ant-Man, Calendar Man, Captain America, Conan the Barbarian, Green Lantern, Iron Man, Metamorpho, Plastic Man, Ridder, Shadow, Watchmen, Wonder Woman;$3000
Morningside Heights, Manhattan;Black Panther, Teenage Mutant Ninja Turtles vs. Cassandra Cain, Daredevil, Ghost Rider, Green Arrow, Guardians of the Galaxy, Wolverine, Wonder Woman, Zatanna;$6000
Downtown Brooklyn, Brooklyn;Impulse vs. Batgirl, Iron Man;$0
Belmont, Bronx;Aisha, Atom, Black Canary, Constantin, Defenders, Guardians of the Galaxy, Huntress, Mr. Terrific, Rocket Red, Shadow, Spider-Man, Zatara vs. Batwoman, Kid Flash, Marvelman, Plastic Man, Ridder, Teenage Mutant Ninja Turtles, V, Wasp, Wolverine;$13000
Nolita, Manhattan;Black Canary, Bruce Wayne, Calendar Man, Conan the Barbarian, Daredevil, Teenage Mutant Ninja Turtles, Wonder Woman vs. Asterix, Fire, Iron Man, Nightwing, Ozymandias, Plastic Man;$8000
Castle Hill, Bronx;Black Panther, Shadow vs. Atom, Batwoman, Black Canary, Daredevil, Doctor Strange, Dr. Manhattan, Karate Kid, Lagoon Boy, Owlwoman, Plastic Man, Robin, Rocket Red, Speedy, Spider-Man, Sub-Mariner, Supergirl, Superman, Wolverine, Zatanna;$13000
Upper West Side, Manhattan;Agent Liberty, Defenders vs. Aquaman, Batwoman, Booster Gold, Elektra, Lagoon Boy, Plastic Man, Static Shock;$6000
Koreatown, Manhattan;Avengers, Owlwoman, Ozymandias, Wasp vs. Batgirl, Black Panther, Red Arrow, Superman;$5000
Morningside Heights, Manhattan;Wolverine vs. Aquaman, Captain America;$2000
Union Square, Manhattan;Black Panther, Guardians of the Galaxy vs. Aztec, Batwoman, Black Canary, Robin;$1000
Greenpoint, Brooklyn;Captain Marvel, Constantin, Impulse, Tim Drake, Vigilante, Zatanna vs. Damian Wayne, Green Arrow, Kate Spencer, Lagoon Boy, Orin, Plastic Man;$9000
Lenox Hill, Manhattan;X-Men vs. Black Canary;$2000
Little Italy, Manhattan;Black Canary vs. Batman;$1000
Williamsburg, Brooklyn;Black Panther, Cyborg, Defenders, Doctor Strange, Fire, Iron Man, Lagoon Boy, Ozymandias, Rocketeer, Spider-Man, Superman, Teenage Mutant Ninja Turtles, Terra, Wasp vs. Jonah Hex;$2000
East Village, Manhattan;Black Canary, Conan the Barbarian, Poison Ivy vs. John Stewart;$8000
Greenpoint, Brooklyn;Avengers vs. Marvelman;$1000
Greenpoint, Brooklyn;Orin vs. Captain Marvel, Hank Hall, Kid Flash;$5000
Upper West Side, Manhattan;Atom vs. Kid Flash;$0
Little Italy, Manhattan;Asterix, Kid Flash vs. Atom;$0
Nolita, Manhattan;Black Panther, Conan the Barbarian vs. Raven, Spider-Man, V, Vixen;$5000
Koreatown, Manhattan;Kate Spencer, Robin vs. Beast Boy, Spider-Man;$2000
Upper West Side, Manhattan;Batgirl, Wasp vs. Atom, Beast Boy, Black Canary, Blue Beetle, Incredible Hulk, X-Men;$4000
Bushwick, Brooklyn;Black Panther, Conan the Barbarian, Iron Man, Teenage Mutant Ninja Turtles vs. Captain America;$2000
Castle Hill, Bronx;Asterix, Batwoman, Calendar Man, Green Lantern, Watchmen vs. Iron Man, Supergirl, Zatara;$9000
Jackson Heights, Queens;Atom, Batgirl, Marvelman vs. Kate Spencer, Lagoon Boy;$3000
Greenpoint, Brooklyn;Black Panther, Conan the Barbarian, Incredible Hulk, Orin, Ozymandias, Robin, Wonder Woman, X-Men vs. Bruce Wayne;$8000
Long Island City, Queens;Animal Man, Aquaman, Atom, Captain America, Conan the Barbarian, Ghost Rider, Incredible Hulk, Iron Man, Ozymandias, Rocketeer, Terry McGinnis, Zatanna vs. Avengers, Black Canary, Calendar Man, Hellboy, Nightwing, Poison Ivy, Superman;$1000
Park Slope, Brooklyn;Marvelman, Plastic Man, Zatanna vs. Captain Marvel, Robin, Teenage Mutant Ninja Turtles;$6000
Park Slope, Brooklyn;Raven vs. Green Lantern, Hawkeye, Krypta, Mr. Terrific, Starfire;$1000
Crown Heights, Brooklyn;V vs. Asterix, Batwoman, Vixen;$3000
DUMBO, Brooklyn;Batman, Cassandra Cain, Catwoman, Elektra, Hal Jordan, Kamandi, Raven, Rocketeer, X-Men vs. S.T.R.I.P.E.;$9000
Chelsea, Manhattan;Hawkeye vs. Captain America;$1000
East Harlem, Manhattan;Artemis, Incredible Hulk, Thor vs. Aztec, Kid Flash, Lagoon Boy, Wasp;$4000
Castle Hill, Bronx;Defenders, Katana, Supergirl vs. Ant-Man, Atom, Conan the Barbarian, Miss Martian, Plastic Man, Tiger, Zatanna;$26000
Castle Hill, Bronx;Black Canary vs. Asterix;$1000
DUMBO, Brooklyn;Conan the Barbarian vs. Guardians of the Galaxy, Raven;$3000
Sunset Park, Brooklyn;Agent Liberty, Batman, Booster Gold, Hal Jordan, Nightwing, Watchmen vs. Avengers;$6000
Nolita, Manhattan;Green Lantern, Nightwing, Superman, Zatanna vs. Daredevil, Lagoon Boy;$9000
SoHo, Manhattan;Avengers, Batwoman, Doc Savage, Rocketeer vs. Owlman, Stephanie Brown;$12000
Meatpacking District, Manhattan;Black Panther, Captain Marvel, Nightwing, Ozymandias, Plastic Man vs. Black Canary, Kamandi, Katana, Mr. Terrific, Raven, Robin, Sub-Mariner, Teenage Mutant Ninja Turtles, Wasp, Wolverine, X-Men, Xera;$21000
Castle Hill, Bronx;Bruce Wayne vs. Agent Liberty, Batwoman, Captain America, Elektra, Ghost Rider, Iron Man, Starfire, Teenage Mutant Ninja Turtles, Wasp, Zatanna, Zatara;$1000
Upper East Side, Manhattan;Wasp vs. Elektra, Sub-Mariner, Wolverine;$0
Brooklyn Heights, Brooklyn;Aztec vs. Doc Savage;$0
Meatpacking District, Manhattan;Batwoman, Kate Spencer, Lagoon Boy vs. Black Panther, Wonder Woman;$1000
Chinatown, Manhattan;Beast Boy, Defenders, Gypsy, Marvelman, Owlwoman, Rocketeer vs. Batgirl;$5000
Roosevelt Island, Manhattan;Catwoman, Defenders, Rocketeer, Starfire vs. Aquaman, Dick Grayson;$4000
Little Italy, Manhattan;Conan the Barbarian, Vixen vs. Ant-Man, Asterix, Batwoman, Captain America, Flash, Hawkgirl, Incredible Hulk, Plastic Man, Poison Ivy, Rocketeer, Sub-Mariner;$4000
Park Slope, Brooklyn;Sub-Mariner, Teenage Mutant Ninja Turtles vs. Ant-Man, Arsenal, Avengers, Black Canary, Cassandra Cain, Catwoman, Elektra, Green Arrow, Hawkeye, Iron Fist, Thor, X-Men;$20000
DUMBO, Brooklyn;Incredible Hulk, Supergirl, Superman vs. Avengers, Black Panther, Bronze Tiger, Cassandra Cain, Daredevil, Lagoon Boy, Orin, Plastic Man, Poison Ivy, Robin, X-Men;$13000
Gramercy Park, Manhattan;Avengers, Batgirl, Incredible Hulk, Iron Man, Jonah Hex, Marvelman, Poison Ivy, Rocketeer, Starfire, Supergirl, Superman, Wolverine, Zatanna vs. Ant-Man, Gangbuster, Iron Fist, X-Men;$8000
Greenpoint, Brooklyn;Nightwing vs. Black Canary, Defenders;$0
Chelsea, Manhattan;Bronze Tiger vs. Avengers, Doctor Strange, Elektra, Zatanna;$8000
Lenox Hill, Manhattan;Cyborg vs. Owlman;$0
Koreatown, Manhattan;Agent Liberty vs. Asterix, Stephanie Brown;$3000
Upper East Side, Manhattan;Conan the Barbarian, Guardians of the Galaxy, Hawkeye, Krypta, Rocket Red, Zatanna vs. Aisha, Aquaman, Avengers, Green Lantern, Iron Man, Mas y Menos, Oracle, Sub-Mariner, Vixen, Zatara;$10000
Belmont, Bronx;Black Canary, Starfire vs. Asterix, Green Arrow, Owlman;$1000
East Village, Manhattan;Defenders, Rocketeer vs. Wasp;$3000
Koreatown, Manhattan;Lagoon Boy vs. Black Canary, Shadow, Spider-Man, Supergirl;$5000
Bushwick, Brooklyn;Doc Savage vs. Watchmen;$0
Nolita, Manhattan;Avengers, Owlwoman vs. Black Canary;$1000
Flushing, Queens;Iron Man vs. Artemis;$1000
Castle Hill, Bronx;Captain America, Conan the Barbarian, Stephanie Brown vs. Black Panther;$7000
Flatiron District, Manhattan;Ant-Man, Avengers, Batwoman, Wolverine, Zatanna vs. Ghost Rider, Kamandi, Kid Flash;$1000
Upper East Side, Manhattan;Agent Liberty, Conan the Barbarian, Teenage Mutant Ninja Turtles vs. Iron Fist;$4000
East Harlem, Manhattan;Batman, Black Canary, Ghost Rider, Teenage Mutant Ninja Turtles, Zatara vs. Agent Liberty, Defenders, Supergirl;$0
Nolita, Manhattan;Agent Liberty, Catwoman, Ice, Impulse, Kid Flash, Ridder, Starfire vs. Atom, Green Lantern, Judomaster;$10000
Washington Heights, Manhattan;Atom, Batman, Black Canary, Defenders, Doctor Strange, Incredible Hulk, Owlwoman vs. Aquaman, Plastic Man;$8000
Park Slope, Brooklyn;Krypta, Marvelman, Sub-Mariner, Vixen vs. Batman, Damian Wayne, Guardians of the Galaxy, Iron Man, Kate Spencer, Mr. Terrific, Rocketeer;$9000
Greenpoint, Brooklyn;Ant-Man, Ghost Rider vs. Asterix, Atom, Batgirl, Mr. Terrific, Supergirl, Zatanna;$8000
East Village, Manhattan;Booster Gold, John Stewart, Watchmen vs. Green Arrow, Green Lantern, Hawkeye, Raven, Speedy;$4000
Pelham Gardens, Bronx;Atom vs. Batman, Black Panther, Elektra, Lagoon Boy, Mr. Terrific;$0
East Harlem, Manhattan;Cyborg, Incredible Hulk, Starfire, X-Men, Zatanna, Zatara vs. Black Canary, Daredevil, Green Lantern, Marvelman, Static Shock, Wasp;$1000
Koreatown, Manhattan;Black Panther, Green Lantern, Supergirl, Wonder Woman vs. Beast Boy;$4000
Roosevelt Island, Manhattan;Owlman vs. Green Lantern, Hal Jordan, Iron Fist, Spider-Man, Supergirl, Superman, Thor;$0
Little Italy, Manhattan;Jonah Hex vs. Adam Strange, Batgirl;$3000
Chinatown, Manhattan;Ant-Man, Jonah Hex, Kate Spencer vs. Artemis, Incredible Hulk, Vixen, Wildcat;$9000
East Village, Manhattan;Kid Flash vs. Agent Liberty;$3000
Morningside Heights, Manhattan;Damian Wayne vs. Batman, Captain America, Wasp;$5000
Castle Hill, Bronx;Black Panther vs. Incredible Hulk, Robin, S.T.R.I.P.E.;$0
Koreatown, Manhattan;Jonah Hex vs. Marvelman;$0
Little Italy, Manhattan;Zatara vs. Iron Man;$0
Fordham, Bronx;Booster Gold, Catwoman, Rocket, Tiger vs. Black Canary;$0
Castle Hill, Bronx;Cassandra Cain, Green Arrow, Superman vs. Ant-Man, Atom, Black Canary, Booster Gold, Conan the Barbarian, Daredevil, Doc Savage, Elektra, Huntress, Impulse, Incredible Hulk, Kid Flash, Mr. Terrific, Pantha, Robin, Rocketeer, Shadow, Tiger, Tim Drake, Zatanna;$12000
Nolita, Manhattan;Kate Spencer, Lagoon Boy vs. Ridder;$0
Coney Island, Brooklyn;Impulse, Incredible Hulk vs. Bruce Wayne, Judomaster;$0
Roosevelt Island, Manhattan;Black Panther, Incredible Hulk, Lagoon Boy, Ridder, Wonder Woman vs. Asterix, Constantin, Gypsy, Hal Jordan, Orin, Raven, Rocketeer, Sub-Mariner, Wildcat, X-Men, Zatanna;$8000
Belmont, Bronx;Iron Man, X-Men vs. Aquaman, Huntress;$4000
Coney Island, Brooklyn;Catwoman, Zatanna vs. Ant-Man;$4000
Morningside Heights, Manhattan;Agent Liberty vs. Zatanna;$3000
Koreatown, Manhattan;Captain Marvel, Owlman, Ridder vs. Agent Liberty, Rocket;$0
Meatpacking District, Manhattan;Spider-Man vs. Avengers, Black Canary, Sub-Mariner;$4000
SoHo, Manhattan;Wonder Girl vs. Avengers, Captain America, Defenders, Ghost Rider, Gypsy, Iron Fist, Marvelman, Owlman, Supergirl, Tiger;$15000
Jackson Heights, Queens;Karate Kid vs. Ant-Man;$1000
Brooklyn Heights, Brooklyn;Iron Fist, Ridder, Zatanna vs. Doc Savage;$1000
Co-Op City, Bronx;Batman vs. Kamandi, Sub-Mariner;$0
Long Island City, Queens;Animal Man, Batwoman, Defenders, Ghost Rider, Green Lantern, Star-Spangled Kid vs. Asterix, Black Canary, Huntress, Iron Fist, Katana, Kid Flash, Teenage Mutant Ninja Turtles;$21000
Upper West Side, Manhattan;Avengers, Doctor Strange, Hal Jordan, Impulse, Kate Spencer, Power Girl, Supergirl vs. Batman, Hawkeye, Iron Man, Mr. Terrific, X-Men;$6000
Hell's Kitchen, Manhattan;Black Panther, Hawkeye, Plastic Man, Wasp vs. Ant-Man, Atom, Avengers, Batgirl, Black Canary, Raven, Ridder, Starfire, Sub-Mariner, Teenage Mutant Ninja Turtles;$9000
SoHo, Manhattan;Captain Marvel, Doc Savage, Marvelman, Robin, Supergirl vs. Aquaman;$1000
Hell's Kitchen, Manhattan;Black Canary vs. Asterix, Gangbuster, Tiger;$3000
Williamsburg, Brooklyn;Bronze Tiger, Catwoman, Green Arrow, Incredible Hulk, Iron Man, Jericho, Kyle Rayner, Orin, Ozymandias, Poison Ivy, Shadow vs. Black Panther, Calendar Man, Elektra, Hawkeye;$19000
Gramercy Park, Manhattan;Asterix, Dick Grayson vs. Wasp;$1000
Morningside Heights, Manhattan;Black Canary, Marvelman vs. Ant-Man, Catwoman, Doc Savage, Mr. Terrific, Teenage Mutant Ninja Turtles;$9000
Lenox Hill, Manhattan;Daredevil, Ridder, S.T.R.I.P.E. vs. Starfire, Superman;$2000
Flatiron District, Manhattan;Asterix, Atom, Conan the Barbarian, Spider-Man, Sub-Mariner, Watchmen, Zatanna vs. Doc Savage;$8000
East Village, Manhattan;Avengers, Calendar Man, Ghost Rider, Impulse, Solomon Grundy vs. Teenage Mutant Ninja Turtles;$10000
Lenox Hill, Manhattan;Aisha, Calendar Man, Catwoman, Conan the Barbarian, Green Lantern, Krypta, Teenage Mutant Ninja Turtles, Wonder Woman, Zatanna vs. Avengers, Iron Fist, Wonder Girl;$6000
Hell's Kitchen, Manhattan;Hal Jordan, Teenage Mutant Ninja Turtles vs. Ridder;$0
Upper East Side, Manhattan;Ridder, Zatara vs. Hellboy, Robin;$1000
Belmont, Bronx;Calendar Man, Catwoman, Marvelman, Rocketeer, Teenage Mutant Ninja Turtles vs. Asterix, Black Canary, Hawkeye;$16000
Castle Hill, Bronx;Agent Liberty, Ant-Man, Avengers, Green Lantern, Hawkeye, Mas y Menos vs. Ridder;$5000
Castle Hill, Bronx;Ghost Rider vs. Calendar Man;$0
Nolita, Manhattan;Wasp vs. Iron Fist, Supergirl;$3000
Fordham, Bronx;Ghost Rider, Green Lantern, Iron Man vs. Starfire;$4000
Park Slope, Brooklyn;Avengers, Bruce Wayne, Conan the Barbarian, Guardians of the Galaxy, Kamandi, Mas y Menos vs. Captain America, Hawkeye;$7000
Coney Island, Brooklyn;Cassandra Cain, Marvelman vs. Asterix, Green Arrow;$3000
Hell's Kitchen, Manhattan;Rocketeer vs. Batman, Black Canary, Catwoman, Ice, Marvelman, Plastic Man, Spider-Man, Teenage Mutant Ninja Turtles, Zatanna;$4000
Morningside Heights, Manhattan;Cassandra Cain, Ozymandias vs. Rocketeer;$1000
Park Slope, Brooklyn;Asterix, Guardians of the Galaxy, Incredible Hulk, Rorschach vs. Conan the Barbarian, Daredevil;$6000
Roosevelt Island, Manhattan;Batman, Fire vs. Incredible Hulk;$1000
Flatbush, Brooklyn;Booster Gold, Doc Savage, Ghost Rider, Vixen vs. Black Canary, Kid Flash, Oracle;$7000
Little Italy, Manhattan;Defenders vs. Aztec, Booster Gold, Captain America, Captain Marvel, Sub-Mariner;$1000
Upper East Side, Manhattan;Nightwing, Orin vs. Elektra, Fire, Sub-Mariner;$3000
Flatiron District, Manhattan;Atom, Batman, Green Lantern, V vs. Avengers, Wonder Woman;$12000
Washington Heights, Manhattan;Daredevil, Hawkeye, Impulse vs. Captain America, Wolverine;$7000
Belmont, Bronx;Asterix, Kate Spencer, Supergirl vs. Mr. Terrific;$4000
Chinatown, Manhattan;Asterix, Batwoman, Defenders, Incredible Hulk, Karate Kid vs. Captain America, Captain Metropolis, Daredevil, Gypsy, Kamandi, Kate Spencer, Marvelman, Mas y Menos, Owlman, Poison Ivy, Ridder, S.T.R.I.P.E., Zatanna;$83000
Upper West Side, Manhattan;Adam Strange, Atom, Bruce Wayne, Hank Hall, Mr. Terrific, Star-Spangled Kid, Superman, Terry McGinnis, Watchmen vs. Avengers, Batwoman, Teenage Mutant Ninja Turtles, V, Zatara;$8000
Hell's Kitchen, Manhattan;Hellboy, Wasp vs. Atom, Catwoman, Ray, Watchmen, Zatara;$6000
Park Slope, Brooklyn;Batman, Batwoman, Conan the Barbarian, Daredevil, Starfire vs. Black Canary;$1000
Hell's Kitchen, Manhattan;Wasp vs. Rocketeer, Shining Knight, Sub-Mariner, Teenage Mutant Ninja Turtles;$4000
Flatiron District, Manhattan;Hal Jordan, Huntress, Orin vs. Aztec, Daredevil, Defenders, Mr. Terrific, Power Girl, Shadow, Wasp;$13000
Koreatown, Manhattan;Supergirl vs. Asterix, Avengers, Nightwing, Plastic Man, Zatara;$12000
Bushwick, Brooklyn;Doctor Strange, Gangbuster, Star-Spangled Kid, Superman vs. Booster Gold, Captain Metropolis, Karate Kid, Plastic Man, Wonder Woman, X-Men;$5000
Greenpoint, Brooklyn;Guardians of the Galaxy, Incredible Hulk, Iron Fist vs. Aisha, Robin;$4000
Greenpoint, Brooklyn;Agent Liberty, Ant-Man, Avengers, Green Arrow vs. Batman, Hawkgirl, Lagoon Boy;$4000
Meatpacking District, Manhattan;Ant-Man, Mas y Menos, Orin, Sub-Mariner vs. Gypsy;$7000
Upper West Side, Manhattan;Marvelman, S.T.R.I.P.E. vs. Black Panther, Doc Savage, Doctor Strange, Rocket;$3000
Flushing, Queens;Black Panther, Captain Marvel, Conan the Barbarian, Daredevil, Hank Hall, Marvelman, Nite Owl, Sub-Mariner, Wolverine, Wonder Girl vs. Batman, Kid Flash;$0
Lenox Hill, Manhattan;Rocketeer vs. Ant-Man, Defenders, Mas y Menos;$2000
Gramercy Park, Manhattan;Daredevil vs. Iron Man;$0
SoHo, Manhattan;Aquaman, Batman, Lagoon Boy, Robin, Zatanna vs. Catwoman, Defenders;$11000
Little Italy, Manhattan;Teenage Mutant Ninja Turtles vs. Aisha, Black Canary, Cassandra Cain, Hawkgirl, Miss Martian, Vixen;$1000
Meatpacking District, Manhattan;Animal Man vs. Batman, Gangbuster, Ghost Rider, Zatanna;$4000
Castle Hill, Bronx;Conan the Barbarian, Lagoon Boy, Wasp, Wolverine vs. Aquaman, Elektra, Vixen, Zatanna;$23000
SoHo, Manhattan;Spider-Man, Teenage Mutant Ninja Turtles, Zatanna vs. Black Canary, Black Panther, Calendar Man, Doctor Strange;$12000
Crown Heights, Brooklyn;Aztec vs. Aisha, Bronze Tiger;$4000
Meatpacking District, Manhattan;Wasp vs. Batwoman, Black Canary, Impulse, Iron Fist, Raven;$0
Crown Heights, Brooklyn;Wasp vs. Hank Hall;$1000
Nolita, Manhattan;Hal Jordan vs. Black Canary;$5000
Nolita, Manhattan;Batwoman vs. Agent Liberty, Guardians of the Galaxy;$0
Nolita, Manhattan;Atom, Elektra, Rocketeer, Sub-Mariner, X-Men vs. Captain America, Superman;$2000
Jamaica, Queens;Avengers, Captain Marvel, Defenders, Ghost Rider, Guardians of the Galaxy, Odin, Plastic Man, Ridder, Spider-Man, Superman vs. Cassandra Cain, Hawkgirl;$18000
Castle Hill, Bronx;Daredevil vs. Captain America, Captain Metropolis, Hal Jordan, Huntress, Miss Martian, Rocket Red;$0
